_MEMBER_Ccdc115,Gene,_PATTERN_,_WEIGHTED_RANK_,_RANK_
1,10803,M1,0.007462686567164179,1
1,4747,M1,0.007462686567164179,1
1,4998,M1,0.007462686567164179,1
1,4067,M1,0.007462686567164179,1
1,145748,M1,0.007462686567164179,1
1,3567,M1,0.007462686567164179,1
1,345062,M1,0.007462686567164179,1
1,27429,M1,0.007462686567164179,1
1,401494,M1,0.007462686567164179,1
1,64922,M1,0.007462686567164179,1
1,7314,M1,0.007462686567164179,1
1,52,M1,0.007462686567164179,1
1,64805,M1,0.007462686567164179,1
1,408263,M1,0.007462686567164179,1
1,169966,M1,0.007462686567164179,1
1,55082,M1,0.007462686567164179,1
1,10026,M1,0.007462686567164179,1
1,92421,M1,0.007462686567164179,1
1,2124,M1,0.007462686567164179,1
1,4869,M1,0.007462686567164179,1
1,4907,M1,0.007462686567164179,1
1,3151,M1,0.007462686567164179,1
1,373509,M1,0.007462686567164179,1
1,8452,M1,0.007462686567164179,1
1,151050,M1,0.007462686567164179,1
1,226,M1,0.007462686567164179,1
1,57515,M1,0.007462686567164179,1
1,246175,M1,0.007462686567164179,1
1,7010,M1,0.007462686567164179,1
1,212,M1,0.007462686567164179,1
1,3184,M1,0.007462686567164179,1
1,3326,M1,0.007462686567164179,1
1,10973,M1,0.007462686567164179,1
1,84899,M1,0.007462686567164179,1
1,5354,M1,0.007462686567164179,1
1,71,M1,0.007462686567164179,1
1,28958,M1,0.007462686567164179,1
1,57531,M1,0.007462686567164179,1
1,63926,M1,0.007462686567164179,1
1,9122,M1,0.007462686567164179,1
1,128344,M1,0.007462686567164179,1
1,26136,M1,0.007462686567164179,1
1,143662,M1,0.007462686567164179,1
1,9068,M1,0.007462686567164179,1
1,25957,M1,0.007462686567164179,1
1,415117,M1,0.007462686567164179,1
1,2246,M1,0.007462686567164179,1
1,23270,M1,0.007462686567164179,1
1,403314,M1,0.007462686567164179,1
1,5094,M1,0.007462686567164179,1
1,64320,M1,0.007462686567164179,1
1,29978,M1,0.007462686567164179,1
1,808,M1,0.007462686567164179,1
1,27328,M1,0.007462686567164179,1
1,27039,M1,0.007462686567164179,1
1,4809,M1,0.007462686567164179,1
1,8633,M1,0.007462686567164179,1
1,3858,M1,0.007462686567164179,1
1,285,M1,0.007462686567164179,1
1,51714,M1,0.007462686567164179,1
1,367,M1,0.007462686567164179,1
1,203547,M1,0.007462686567164179,1
1,3187,M1,0.007462686567164179,1
1,55743,M1,0.007462686567164179,1
1,552889,M1,0.007462686567164179,1
1,283652,M1,0.007462686567164179,1
1,257415,M1,0.007462686567164179,1
1,9037,M1,0.007462686567164179,1
1,2321,M1,0.007462686567164179,1
1,6019,M1,0.007462686567164179,1
1,87769,M1,0.007462686567164179,1
1,27329,M1,0.007462686567164179,1
1,2263,M1,0.007462686567164179,1
1,10388,M1,0.007462686567164179,1
1,493860,M1,0.007462686567164179,1
1,27306,M1,0.007462686567164179,1
1,11164,M1,0.007462686567164179,1
1,1687,M1,0.007462686567164179,1
1,55064,M1,0.007462686567164179,1
1,10758,M1,0.007462686567164179,1
1,26292,M1,0.007462686567164179,1
1,124512,M1,0.007462686567164179,1
1,57142,M1,0.007462686567164179,1
1,5000,M1,0.007462686567164179,1
1,84707,M1,0.007462686567164179,1
1,64799,M1,0.007462686567164179,1
1,196294,M1,0.007462686567164179,1
1,7529,M1,0.007462686567164179,1
1,7534,M1,0.007462686567164179,1
1,60592,M1,0.007462686567164179,1
1,3357,M1,0.007462686567164179,1
1,8528,M1,0.007462686567164179,1
1,220988,M1,0.007462686567164179,1
1,55450,M1,0.007462686567164179,1
1,443,M1,0.007462686567164179,1
1,55840,M1,0.007462686567164179,1
1,79184,M1,0.007462686567164179,1
1,29119,M1,0.007462686567164179,1
1,3769,M1,0.007462686567164179,1
1,6613,M1,0.007462686567164179,1
1,91851,M1,0.007462686567164179,1
1,5734,M1,0.007462686567164179,1
1,830,M1,0.007462686567164179,1
1,11259,M1,0.007462686567164179,1
1,347730,M1,0.007462686567164179,1
1,7150,M1,0.007462686567164179,1
1,23682,M1,0.007462686567164179,1
1,54456,M1,0.007462686567164179,1
1,7337,M1,0.007462686567164179,1
1,23741,M1,0.007462686567164179,1
1,2823,M1,0.007462686567164179,1
1,388015,M1,0.007462686567164179,1
1,9358,M1,0.007462686567164179,1
1,5532,M1,0.007462686567164179,1
1,23767,M1,0.007462686567164179,1
1,23452,M1,0.007462686567164179,1
1,347240,M1,0.007462686567164179,1
1,4988,M1,0.007462686567164179,1
1,51691,M1,0.007462686567164179,1
1,79161,M1,0.007462686567164179,1
1,10209,M1,0.007462686567164179,1
1,9963,M1,0.007462686567164179,1
1,3006,M1,0.007462686567164179,1
1,23283,M1,0.007462686567164179,1
1,658,M1,0.007462686567164179,1
1,9934,M1,0.007462686567164179,1
1,2742,M1,0.007462686567164179,1
1,494143,M1,0.007462686567164179,1
1,11228,M1,0.007462686567164179,1
1,92610,M1,0.007462686567164179,1
1,2857,M1,0.007462686567164179,1
1,93986,M1,0.007462686567164179,1
1,1540,M1,0.007462686567164179,1
1,10846,M1,0.007462686567164179,1
